Village,Woreda,Region
AbaBikila,Ebenat,Amhara
Abara,ShebelBerenta,Amhara
Abarwuha,GonchaSisoEnese,Amhara
Abaselima,ShebelBerenta,Amhara
Abina,Ebenat,Amhara
AbrahaAtsbaha,KinteAwelaloWurkro,Tigray
Abrekuy,ShebelBerenta,Amhara
AdekeAla,Samre,Tigray
Adekiney,GantaAfeshum,Tigray
AderSeg,Ebenat,Amhara
Adibearj,MedebayZana,Tigray
AdiHa,KolaTembem,Tigray
AdiKisandid,KinteAwelaloWurkro,Tigray
Adisalem,EnbiseSarMidir,Amhara
AdisAlemS,Samre,Tigray
AdisAlemW,WerieLehe,Tigray
Adiselam,NaederAdet,Tigray
Adishimbirkti,Ofla,Tigray
AdisKigni,RayaAzebo,Tigray
Adiyikoro,Ahferom,Tigray
Adizata,Ahferom,Tigray
Adreb,NaederAdet,Tigray
AgazenMeda,GonchaSisoEnese,Amhara
Agazi,SaesiTsaedaemba,Tigray
Agbe,TankuAbergele,Tigray
Agela,Kemekem,Amhara
Agid,Kemekem,Amhara
AlemeTesfa,EnbiseSarMidir,Amhara
AmdiWeyane,Samre,Tigray
Amedwuha,Ambalaje,Tigray
Ameno,Kemekem,Amhara
Amisetya,Ebenat,Amhara
Angot,GonchaSisoEnese,Amhara
Anigot,Kemekem,Amhara
Ansheb,ShebelBerenta,Amhara
AquaShumoch,Ebenat,Amhara
Aquha,Ebenat,Amhara
Arena,WerieLehe,Tigray
Asmena,SaesiTsaedaemba,Tigray
Asta,Kemekem,Amhara
Atakilti,KolaTembem,Tigray
AwetBikalsi,KolaTembem,Tigray
AwusaMeda,EnbiseSarMidir,Amhara
Ayba,Ambalaje,Tigray
Aynalem,KinteAwelaloWurkro,Tigray
Bala,RayaAzebo,Tigray
Balarab,Ebenat,Amhara
Bamba,Samre,Tigray
BarkaAdiswha,AtsbiWenberta,Tigray
Begasheka,KolaTembem,Tigray
Berlay,EnbiseSarMidir,Amhara
Betgebez,Ahferom,Tigray
Bethans,Adwa,Tigray
BilbWuha,Kemekem,Amhara
Birkutea,Kemekem,Amhara
Boneya,ShebelBerenta,Amhara
Burkoche,Ebenat,Amhara
Cheli,Samre,Tigray
Darubekeda,Ofla,Tigray
Deber kerbye,MedebayZana,Tigray
DeberAbaJale,Ebenat,Amhara
DebrAbay,EnbiseSarMidir,Amhara
DebreAliays,EnbiseSarMidir,Amhara
Debrebirhan,Hawzen,Tigray
Debrebrhan,KinteAwelaloWurkro,Tigray
DebreGenet,EnbiseSarMidir,Amhara
DebreGenetA,Adwa,Tigray
DebreGenetK,KolaTembem,Tigray
DebreGeorgis,EnbiseSarMidir,Amhara
DebreKidusan,EnbiseSarMidir,Amhara
Debremawie,EnbiseSarMidir,Amhara
Debreselam,Hawzen,Tigray
Debrinetseb,KolaTembem,Tigray
Dekera,Samre,Tigray
DembezaAmbaLay,EnbiseSarMidir,Amhara
Derit,GonchaSisoEnese,Amhara
Derita,Kemekem,Amhara
Dinkashena,Ofla,Tigray
Ebo,RayaAzebo,Tigray
Edagaarbi,Ahferom,Tigray
EmbaAhfrom,Ahferom,Tigray
EmbachekoGunaguna,Ebenat,Amhara
EndaFelasi,WerieLehe,Tigray
EndaBagerima,Adwa,Tigray
Endabano,KolaTembem,Tigray
Endachiwa,WerieLehe,Tigray
Endagahamus,WerieLehe,Tigray
Endamariam,Ahferom,Tigray
Erba,RayaAzebo,Tigray
Esiret,Samre,Tigray
Estifanos,Kemekem,Amhara
Fala,Ofla,Tigray
Felegehiwot,EnbiseSarMidir,Amhara
FelegeWayane,AtsbiWenberta,Tigray
FikreAlem,HintaloWajirat,Tigray
Filatako,GonchaSisoEnese,Amhara
Gebsit,ShebelBerenta,Amhara
Gedayasu,ShebelBerenta,Amhara
GelaMatebiya,Ebenat,Amhara
Gendebta,Adwa,Tigray
Geneti,RayaAzebo,Tigray
Genfel,KinteAwelaloWurkro,Tigray
Gera,TankuAbergele,Tigray
Gerjale,Alamata,Tigray
GetskiMilesiley,KolaTembem,Tigray
Gijet,Samre,Tigray
Ginaza,Kemekem,Amhara
Golgolemalee,AtsbiWenberta,Tigray
Goshedur,EnbiseSarMidir,Amhara
Goza,Kemekem,Amhara
Grwre,TankuAbergele,Tigray
GuemseAgamet,SaesiTsaedaemba,Tigray
Guroro,KolaTembem,Tigray
Guya,KolaTembem,Tigray
Habees,AtsbiWenberta,Tigray
Hadashtekli,TankuAbergele,Tigray
HadeAlga,RayaAzebo,Tigray
Hadnet,KinteAwelaloWurkro,Tigray
Hadnet,SaesiTsaedaemba,Tigray
HadushAdi,SaesiTsaedaemba,Tigray
HadushHiwet,SaesiTsaedaemba,Tigray
HagereSelam,HintaloWajirat,Tigray
HagereGenet,EnbiseSarMidir,Amhara
HagereSelam,EnbiseSarMidir,Amhara
Hangoda,SaesiTsaedaemba,Tigray
Hareko,HintaloWajirat,Tigray
Hawelti,RayaAzebo,Tigray
Hayelom,KinteAwelaloWurkro,Tigray
Hintsa,Samre,Tigray
HintsaWaza,Samre,Tigray
Hizba Teklehymanot,Endamehoni,Tigray
ImbaRufael,TankuAbergele,Tigray
Jijqe,TankuAbergele,Tigray
JimanDeregeha,Ebenat,Amhara
Jira,NaederAdet,Tigray
kabe,Kemekem,Amhara
Karima,ShebelBerenta,Amhara
Keregna,Kemekem,Amhara
Kihen,KinteAwelaloWurkro,Tigray
Kita,Ebenat,Amhara
Korme,RayaAzebo,Tigray
Ksadacki,NaederAdet,Tigray
Kudo,Ahferom,Tigray
Kuluferha,MedebayZana,Tigray
KuluGizeLemlem,Alamata,Tigray
LaelayDayu,Alamata,Tigray
Laelayhahaile,Ahferom,Tigray
LaelayMegariaTsemri,Ahferom,Tigray
Lalaylogomti,Adwa,Tigray
Ledy,ShebelBerenta,Amhara
Lemlem,TankuAbergele,Tigray
Lemlem Arena,Samre,Tigray
Libo ,Kemekem,Amhara
Limaat,Alamata,Tigray
Limat,TankuAbergele,Tigray
Lul,EnbiseSarMidir,Amhara
LusinaAbegeldi,Ebenat,Amhara
Maekelawi,WerieLehe,Tigray
MaekelSegli,WerieLehe,Tigray
MahbereWeyni,KinteAwelaloWurkro,Tigray
MariamShewito,Adwa,Tigray
Martadios,Kemekem,Amhara
MayChekemte,WerieLehe,Tigray
MayNebri,WerieLehe,Tigray
Maysuru,Ahferom,Tigray
MayTeklia,Samre,Tigray
Mearey,TankuAbergele,Tigray
Mechare,RayaAzebo,Tigray
Mechena,Ebenat,Amhara
MehalGoncha,GonchaSisoEnese,Amhara
Mekan ,Endamehoni,Tigray
MekaneGenet,EnbiseSarMidir,Amhara
Melabesh,EnbiseSarMidir,Amhara
MendereMariam,Kemekem,Amhara
Menegobena,ShebelBerenta,Amhara
Menji,KolaTembem,Tigray
Mergech,ShebelBerenta,Amhara
Mesanu,KinteAwelaloWurkro,Tigray
Mesehle,MedebayZana,Tigray
Meswaeti ,Endamehoni,Tigray
Metkel,HintaloWajirat,Tigray
MetkelLemat,Samre,Tigray
Mezbr,Ahferom,Tigray
MichelDebre,Kemekem,Amhara
Miraf,ShebelBerenta,Amhara
Misema,WerieLehe,Tigray
Mitad,Kemekem,Amhara
MitinaYimach,EnbiseSarMidir,Amhara
Mozen,ShebelBerenta,Amhara
Mozutey,Hawzen,Tigray
Mtsai werki,KolaTembem,Tigray
Nagash,KinteAwelaloWurkro,Tigray
Nebarhadinet,Samre,Tigray
Nefasit,MedebayZana,Tigray
Negedebrhan,TankuAbergele,Tigray
Niquara,Ebenat,Amhara
Qoraro,Hawzen,Tigray
RubaFelege,AtsbiWenberta,Tigray
Santa gelebeda,KolaTembem,Tigray
SaratYerawoch,GonchaSisoEnese,Amhara
Sefo,Ahferom,Tigray
Segena,GonchaSisoEnese,Amhara
Seka,NaederAdet,Tigray
Selam,Hawzen,Tigray
Selam,WerieLehe,Tigray
Selamaya,Ebenat,Amhara
SelamBekalsi,Alamata,Tigray
Selamber,EnbiseSarMidir,Amhara
SelamgieAmbarie,GonchaSisoEnese,Amhara
Selelkula,ShebelBerenta,Amhara
SelenWuha,Alamata,Tigray
Seloda,Adwa,Tigray
Sendada,SaesiTsaedaemba,Tigray
Serawudi,Ebenat,Amhara
Seret,Ambalaje,Tigray
Sero,Ahferom,Tigray
Shamo,Kemekem,Amhara
ShehochTehara,Kemekem,Amhara
Shekatekli,TankuAbergele,Tigray
Shunge,Ebenat,Amhara
Simret,Endamehoni,Tigray
Simret,GantaAfeshum,Tigray
Simret,TankuAbergele,Tigray
Sinkata,SaesiTsaedaemba,Tigray
Siye,TankuAbergele,Tigray
Smret,KolaTembem,Tigray
Sorya,Alamata,Tigray
Suha,ShebelBerenta,Amhara
Tahtay haya,Endamehoni,Tigray
TahtayDaeroka,Ahferom,Tigray
TahtayLegomti,Adwa,Tigray
TahtayMegariaTsebri,Ahferom,Tigray
Tao,Alamata,Tigray
TaraGedam,Kemekem,Amhara
TaraSenba,Ebenat,Amhara
Tekea,Ambalaje,Tigray
Tekleweyni,TankuAbergele,Tigray
Tetatiro,ShebelBerenta,Amhara
Tibaga,Kemekem,Amhara
Tigage,Ebenat,Amhara
Tsae,WerieLehe,Tigray
Tsetsera,Alamata,Tigray
Tseykeme,TankuAbergele,Tigray
Tsigea,RayaAzebo,Tigray
Ulaga,RayaAzebo,Tigray
Wargba,RayaAzebo,Tigray
Wariba,Ebenat,Amhara
Wedikeshi,Adwa,Tigray
Werabaye,RayaAzebo,Tigray
Werkamba,KolaTembem,Tigray
Wobo,ShebelBerenta,Amhara
Wonberoch,Ebenat,Amhara
Wondye,GonchaSisoEnese,Amhara
Worego,ShebelBerenta,Amhara
WorgajaWagi,Ebenat,Amhara
WoryaMeskel,EnbiseSarMidir,Amhara
Woyenti,Adwa,Tigray
Woynye,ShebelBerenta,Amhara
Wuhdet,GantaAfeshum,Tigray
Wuhdet,KolaTembem,Tigray
WushaTires,Kemekem,Amhara
Yedwuha,ShebelBerenta,Amhara
Yeju,ShebelBerenta,Amhara
Yetefet,EnbiseSarMidir,Amhara
YifagAkababi,Kemekem,Amhara
Yitihana,ShebelBerenta,Amhara
Zata,Ofla,Tigray
Ziha,Ebenat,Amhara
ZihonHuha,EnbiseSarMidir,Amhara
ZobarYikuanda,EnbiseSarMidir,Amhara
Zongi,WerieLehe,Tigray